Day  T_A [K]  T_B [K]  T_C [K]
  1  290.745  302.602  299.071
  2  293.925  301.648  306.897
  3  285.072  290.294  300.407
  4  284.221  301.853  298.070
  5  291.461  302.117  304.100
  6  291.687  288.135  283.067
  7  283.273  321.830  292.752
  8  298.598  299.662  291.986
  9  286.621  302.156  290.567
 10  292.407  303.167  296.503
 11  297.383  313.027  286.257
 12  302.831  309.539  300.002
 13  293.481  291.467  288.279
 14  278.476  311.340  272.147
 15  301.668  305.635  295.070
 16  299.927  291.645  292.068
 17  293.009  318.259  297.684
 18  299.191  307.775  288.167
 19  283.188  272.175  295.427
 20  284.329  302.210  270.972
 21  293.711  299.196  278.159
 22  298.916  297.708  310.104
 23  299.996  314.094  309.458
 24  315.172  301.300  284.842
 25  316.902  309.393  290.497
 26  297.914  292.537  291.254
 27  312.218  302.822  284.410
 28  293.900  325.552  290.304
 29  306.521  296.099  286.435
 30  314.810  309.194  279.267
 31  296.195  323.595  281.744
 32  290.159  301.929  276.801
 33  307.837  285.054  267.112
 34  296.468  305.115  280.830
 35  298.812  298.339  275.908
 36  290.786  314.213  272.820
 37  273.903  289.757  276.533
 38  285.617  303.122  284.207
 39  296.203  295.801  286.277
 40  294.922  299.581  284.491
 41  286.964  294.158  291.852
 42  303.550  298.308  282.102
 43  321.687  287.123  276.883
 44  306.937  290.757  293.252
 45  299.272  295.173  288.089
 46  300.401  314.583  272.673
 47  313.594  303.536  265.792
 48  309.190  299.638  275.255
 49  305.106  302.351  284.922
 50  291.625  314.281  281.005
 51  306.317  288.706  290.518
 52  296.132  300.868  270.151
 53  280.652  292.054  282.209
 54  305.572  298.880  258.303
 55  310.654  290.827  280.752
 56  310.650  301.729  269.628
 57  308.596  295.492  303.663
 58  309.781  307.473  286.006
 59  303.274  308.326  255.842
 60  311.664  298.443  299.973
 61  320.048  281.881  270.552
 62  296.921  304.300  271.884
 63  297.303  301.796  267.261
 64  308.533  290.441  294.987
 65  302.871  288.466  273.219
 66  304.506  281.962  300.726
 67  300.928  298.047  276.522
 68  300.937  272.773  270.396
 69  318.442  294.723  278.065
 70  297.402  294.100  270.523
 71  283.443  301.526  269.637
 72  299.407  272.194  276.433
 73  307.591  270.031  273.955
 74  299.633  294.903  273.760
 75  288.877  301.135  284.823
 76  313.234  294.400  285.187
 77  309.326  308.897  268.856
 78  296.336  287.889  290.819
 79  304.648  286.244  279.791
 80  291.404  289.830  278.354
 81  313.223  285.653  279.621
 82  300.623  299.838  264.005
 83  304.963  298.100  255.829
 84  301.261  302.495  284.155
 85  295.507  286.280  269.075
 86  305.999  286.453  273.347
 87  310.494  288.322  260.585
 88  296.338  297.103  286.026
 89  283.092  286.830  278.513
 90  316.698  286.778  270.442
 91  309.198  296.249  260.706
 92  300.804  293.212  286.469
 93  300.382  281.070  276.951
 94  307.017  277.378  277.661
 95  292.281  281.617  269.520
 96  292.247  303.754  274.201
 97  301.879  288.770  251.594
 98  293.705  284.012  275.926
 99  302.707  297.295  282.835
100  310.942  296.205  276.091
101  317.886  272.170  290.915
102  312.115  297.278  286.045
103  314.972  279.631  273.784
104  292.131  275.384  281.024
105  295.567  291.079  252.701
